exp,ModelName,ObjectName,Posx,Posy,Posz,Rotx,Roty,Rotz,Scax,Scay,Scaz
type,char,char,float,float,float,float,float,float,float,float,float
data,PBRArch,Arch1,3,0,-25,0,0,0,1,1,1
data,GreenCrystal,GreenCrystal1,0,0,0,1.57,0,0,2,2,2
data,TallBottomRock,TallBottom1,-3,0,-3.5,1.57,0,0.7,1,1,1
data,MediumBottomRock,MediumBottom1,2,0,-2,1.57,0,0,1,1,1
data,PBRStalagmiteA,Stalagmite1,5,0,3,1.57,0,1.1,0.5,0.5,0.5
data,PBRArch,Arch2,3,0,-15,0,1,0,0.5,0.5,0.5
data,TallBottomRock,TallBottom2,0,5,-10,-1.57,0,0,1,1,1
data,MediumBottomRock,MediumBottom2,10,0,-8,1.57,0,0,1,1,1
data,PBRStalagmiteA,Stalagmite3,10,0,-12,1.57,0,0,1,1,1
data,ShortBottomRock,ShortBottom1,1,10,-10,-1.57,0,0,4,4,4
data,PBRArch,Arch3,-10,0,-10,0,2.5,0,1,1,1
data,GreenCrystal,GreenCrystal4,-8,0,-10,1.57,-0.6,0,1,1,1
data,PBRArch,Arch4,-3,0,0,0,-1,0,1,1,1
data,GreenCrystal,BigCrystal1,-3.5,0,0,1.57,0,-0.5,2,2,2
data,GreenCrystal,Created,2,0,-5,1.57,0,6,1,1,1
data,PBRArch,Arch33,4,0,-5,0,1.7,0,1,1,1
data,GreenCrystal,CrystalB,-2,0,-5,1.57,0,0,1,1,1
data,GreenCrystal,CrystalC,2,0,0,1.57,0,0,2,2,2
data,GreenCrystal,CrystalD,-2,0,-2,1.57,0,-1.5,1,1,1
data,GreenCrystal,CrystalE,1.2,0,0,1.57,0,0,1,1,1
data,MedTop,MedTop1,0,6,0,1.57,0,0,2,2,2
data,Sphere,Sphere,-10,3,-12,0,0,0,1,1,1
data,Ground,Ground,0,0,0,1.57,0,0,70,70,10
data,PBRArch,Arch5,-3,0,-15,0,1,0,0.5,0.5,0.5
